"2011 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,
"Data as of December 17, 2010.  Includes all 2011 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.",,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2011, enhanced alternative plans may offer additional gap coverage which is calculated as the percentage of “generic” formulary products with coverage above and beyond the 2011 standard ""generic"" coverage gap cost-sharing benefit and/or the percentage of “brand” formulary products covered in addition to the coverage gap discount for applicable drugs.  Additional gap coverage levels are determined separately for formulary generic and brand products and are described as follows:   “All”: 100% of formulary drugs are covered through the gap, “Many”: ?65% to <100% of formulary drugs are covered through the gap, “Some”: ?10% to <65 % of formulary drugs are covered through the gap, “Few”: >0% to <10% of formulary drugs are covered through the gap (and must also be >15 products covered through the gap), “No Gap Coverage”:  0% of formulary drugs are covered through the gap (or ?15 products covered through the gap).  A label of “All Formulary Drugs” is applied for plans that cover 100% of “generic” and 100% of “brand” products (either by covering all formulary drug products in the gap or by having no initial coverage limit).",,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","Type of 
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Preventive Services Provided at Zero Cost Share
Nebraska,Adams,Blue Cross and Blue Shield of Nebraska,MedicareBlue PPO (Regional PPO),Regional PPO,$71.30,$310,Basic,None,AE,R5566,005,0,"$3,350",Yes
Nebraska,Adams,Humana Insurance Company,Humana Gold Choice H2944-017 (PFFS),PFFS,$51.00,$0,Enhanced,"Few Generics, Few Brands",EA,H2944,017,0,"$5,000",Yes
Nebraska,Adams,Humana Insurance Company,Humana Gold Choice H2944-171 (PFFS),PFFS *,$0.00,,,,,H2944,171,0,"$6,000",Yes
Nebraska,Adams,Unicare Life & Health Ins. Company,SecurityChoice Classic (PFFS),PFFS *,$0.00,,,,,H0540,001,0,"$5,000",Yes
Nebraska,Adams,Unicare Life & Health Ins. Company,SecurityChoice Plus (PFFS),PFFS,$30.00,$0,Enhanced,Many Generics,EA,H0540,020,0,"$5,000",Yes
Nebraska,Antelope,Blue Cross and Blue Shield of Nebraska,MedicareBlue PPO (Regional PPO),Regional PPO,$71.30,$310,Basic,None,AE,R5566,005,0,"$3,350",Yes
Nebraska,Antelope,Unicare Life & Health Ins. Company,SecurityChoice Classic (PFFS),PFFS *,$0.00,,,,,H0540,001,0,"$5,000",Yes
Nebraska,Antelope,Unicare Life & Health Ins. Company,SecurityChoice Plus (PFFS),PFFS,$30.00,$0,Enhanced,Many Generics,EA,H0540,020,0,"$5,000",Yes
Nebraska,Arthur,Blue Cross and Blue Shield of Nebraska,MedicareBlue PPO (Regional PPO),Regional PPO,$71.30,$310,Basic,None,AE,R5566,005,0,"$3,350",Yes
Nebraska,Arthur,SecureHorizons by UnitedHealthcare,SecureHorizons MedicareDirect Essential (PFFS),PFFS *,$0.00,,,,,H5435,001,0,"$5,200",Yes
Nebraska,Arthur,SecureHorizons by UnitedHealthcare,SecureHorizons MedicareDirect Rx (PFFS),PFFS,$0.00,$0,Enhanced,None,EA,H5435,024,0,"$5,800",Yes
Nebraska,Arthur,Unicare Life & Health Ins. Company,SecurityChoice Classic (PFFS),PFFS *,$0.00,,,,,H0540,001,0,"$5,000",Yes
Nebraska,Arthur,Unicare Life & Health Ins. Company,SecurityChoice Plus (PFFS),PFFS,$30.00,$0,Enhanced,Many Generics,EA,H0540,020,0,"$5,000",Yes
Nebraska,Banner,Blue Cross and Blue Shield of Nebraska,MedicareBlue PPO (Regional PPO),Regional PPO,$71.30,$310,Basic,None,AE,R5566,005,0,"$3,350",Yes
Nebraska,Banner,Humana Insurance Company,Humana Gold Choice H2944-017 (PFFS),PFFS,$51.00,$0,Enhanced,"Few Generics, Few Brands",EA,H2944,017,0,"$5,000",Yes
Nebraska,Banner,Humana Insurance Company,Humana Gold Choice H2944-171 (PFFS),PFFS *,$0.00,,,,,H2944,171,0,"$6,000",Yes
Nebraska,Banner,SecureHorizons by UnitedHealthcare,SecureHorizons MedicareDirect Essential (PFFS),PFFS *,$0.00,,,,,H5435,001,0,"$5,200",Yes
Nebraska,Banner,SecureHorizons by UnitedHealthcare,SecureHorizons MedicareDirect Rx (PFFS),PFFS,$0.00,$0,Enhanced,None,EA,H5435,024,0,"$5,800",Yes
Nebraska,Banner,Unicare Life & Health Ins. Company,SecurityChoice Classic (PFFS),PFFS *,$0.00,,,,,H0540,001,0,"$5,000",Yes
Nebraska,Banner,Unicare Life & Health Ins. Company,SecurityChoice Plus (PFFS),PFFS,$30.00,$0,Enhanced,Many Generics,EA,H0540,020,0,"$5,000",Yes
Nebraska,Blaine,Blue Cross and Blue Shield of Nebraska,MedicareBlue PPO (Regional PPO),Regional PPO,$71.30,$310,Basic,None,AE,R5566,005,0,"$3,350",Yes
Nebraska,Blaine,Humana Insurance Company,Humana Gold Choice H2944-017 (PFFS),PFFS,$51.00,$0,Enhanced,"Few Generics, Few Brands",EA,H2944,017,0,"$5,000",Yes
Nebraska,Blaine,Humana Insurance Company,Humana Gold Choice H2944-171 (PFFS),PFFS *,$0.00,,,,,H2944,171,0,"$6,000",Yes
Nebraska,Blaine,SecureHorizons by UnitedHealthcare,SecureHorizons MedicareDirect Essential (PFFS),PFFS *,$0.00,,,,,H5435,001,0,"$5,200",Yes
Nebraska,Blaine,SecureHorizons by UnitedHealthcare,SecureHorizons MedicareDirect Rx (PFFS),PFFS,$0.00,$0,Enhanced,None,EA,H5435,024,0,"$5,800",Yes
Nebraska,Blaine,Unicare Life & Health Ins. Company,SecurityChoice Classic (PFFS),PFFS *,$0.00,,,,,H0540,001,0,"$5,000",Yes
Nebraska,Blaine,Unicare Life & Health Ins. Company,SecurityChoice Plus (PFFS),PFFS,$30.00,$0,Enhanced,Many Generics,EA,H0540,020,0,"$5,000",Yes
