"2012 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,
"Data as of March 8, 2012.  Includes all 2012 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.",,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2012, enhanced alternative plans may offer additional gap coverage which is calculated as the percentage of “generic” formulary products with coverage above and beyond the 2012 standard ""generic"" coverage gap cost-sharing benefit and/or the percentage of “brand” formulary products covered in addition to the coverage gap discount for applicable drugs.  Additional gap coverage levels are determined separately for formulary generic and brand products and are described as follows:   “All”: 100% of formulary drugs are covered through the gap, “Many”: ?65% to <100% of formulary drugs are covered through the gap, “Some”: ?10% to <65 % of formulary drugs are covered through the gap, “Few”: >0% to <10% of formulary drugs are covered through the gap (and must also be >15 products covered through the gap), “No Gap Coverage”:  0% of formulary drugs are covered through the gap (or ?15 products covered through the gap).  A label of “All Formulary Drugs” is applied for plans that cover 100% of “generic” and 100% of “brand” products (either by covering all formulary drug products in the gap or by having no initial coverage limit).",,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","Type of 
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall            Star Rating
Alabama,Autauga,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0151,1,0,"$4,450 ",2.5
Alabama,Autauga,Blue Cross and Blue Shield of Alabama,Blue Advantage Complete (PPO),Local PPO,$99.00 ,$130 ,Basic,No Gap Coverage,BA,H0104,11,5,"$3,400 ",2.5
Alabama,Autauga,Blue Cross and Blue Shield of Alabama,Blue Advantage Premier (PPO),Local PPO,$199.00 ,$0 ,Enhanced,No Gap Coverage,EA,H0104,10,3,"$3,400 ",2.5
Alabama,Autauga,"Healthspring of Alabama, Inc.",HealthyAdvantage (HMO),Local HMO *,$0.00 ,,,,,H0150,12,0,"$3,400 ",3
Alabama,Autauga,"Healthspring of Alabama, Inc.",HealthyAdvantage Preferred (HMO),Local HMO,$0.00 ,$0 ,Enhanced,Many Generics,EA,H0150,1,0,"$3,400 ",3
Alabama,Autauga,"Healthspring of Alabama, Inc.",HealthyAdvantage Premier (HMO-POS),Local HMO,$38.00 ,$0 ,Enhanced,Many Generics,EA,H0150,23,0,"$3,400 ",3
Alabama,Autauga,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$65.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H8145,75,0,"$5,000 ",Plan too new to be measured
Alabama,Autauga,Humana Insurance Company,Humana Gold Choice H8145-111 (PFFS),PFFS *,$0.00 ,,,,,H8145,111,0,"$6,700 ",Plan too new to be measured
Alabama,Autauga,Humana Insurance Company,HumanaChoice H1681-005 (PPO),Local PPO,$39.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H1681,5,0,"$4,900 ",2.5
Alabama,Autauga,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$59.00 ,$320 ,Basic,No Gap Coverage,DS,R5826,1,0,"$4,900 ",3
