"2012 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,
"Data as of March 8, 2012.  Includes all 2012 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.",,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2012, enhanced alternative plans may offer additional gap coverage which is calculated as the percentage of “generic” formulary products with coverage above and beyond the 2012 standard ""generic"" coverage gap cost-sharing benefit and/or the percentage of “brand” formulary products covered in addition to the coverage gap discount for applicable drugs.  Additional gap coverage levels are determined separately for formulary generic and brand products and are described as follows:   “All”: 100% of formulary drugs are covered through the gap, “Many”: ?65% to <100% of formulary drugs are covered through the gap, “Some”: ?10% to <65 % of formulary drugs are covered through the gap, “Few”: >0% to <10% of formulary drugs are covered through the gap (and must also be >15 products covered through the gap), “No Gap Coverage”:  0% of formulary drugs are covered through the gap (or ?15 products covered through the gap).  A label of “All Formulary Drugs” is applied for plans that cover 100% of “generic” and 100% of “brand” products (either by covering all formulary drug products in the gap or by having no initial coverage limit).",,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","Type of 
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall            Star Rating
Nebraska,Adams,Humana Insurance Company,Humana Gold Choice H2944-004 (PFFS),PFFS,$50.00 ,$0 ,Enhanced,Few Generics and Few Brands,EA,H2944,4,0,"$5,000 ",3
Nebraska,Adams,Humana Insurance Company,Humana Gold Choice H2944-178 (PFFS),PFFS *,$0.00 ,,,,,H2944,178,0,"$5,000 ",3
Nebraska,Adams,Blue Cross and Blue Shield of Nebraska,MedicareBlue PPO (Regional PPO),Regional PPO,$84.40 ,$155 ,Basic,No Gap Coverage,BA,R5566,5,0,"$3,400 ",3.5
Nebraska,Adams,Universal American Corp.,Today's Options Premier 200 (PFFS),PFFS *,$125.00 ,,,,,H5421,211,0,"$3,250 ",2.5
Nebraska,Adams,Universal American Corp.,Today's Options Premier 400 (PFFS),PFFS *,$90.00 ,,,,,H5421,57,0,"$6,700 ",2.5
Nebraska,Adams,Universal American Corp.,Today's Options Premier Plus 250A (PFFS),PFFS,$159.00 ,$0 ,Enhanced,No Gap Coverage,EA,H5421,215,0,"$3,250 ",2.5
Nebraska,Adams,Universal American Corp.,Today's Options Premier Plus 450C (PFFS),PFFS,$102.00 ,$35 ,Basic,No Gap Coverage,BA,H5421,75,0,"$6,700 ",2.5
Nebraska,Antelope,Blue Cross and Blue Shield of Nebraska,MedicareBlue PPO (Regional PPO),Regional PPO,$84.40 ,$155 ,Basic,No Gap Coverage,BA,R5566,5,0,"$3,400 ",3.5
Nebraska,Antelope,Universal American Corp.,Today's Options Premier 200 (PFFS),PFFS *,$125.00 ,,,,,H5421,211,0,"$3,250 ",2.5
Nebraska,Antelope,Universal American Corp.,Today's Options Premier 400 (PFFS),PFFS *,$90.00 ,,,,,H5421,57,0,"$6,700 ",2.5
Nebraska,Antelope,Universal American Corp.,Today's Options Premier Plus 250A (PFFS),PFFS,$159.00 ,$0 ,Enhanced,No Gap Coverage,EA,H5421,215,0,"$3,250 ",2.5
