"2016 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,,
"Data as of September 9, 2015.  Includes 2016 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.  Medicare/Medicaid plans are shown in a separate Landscape file.",,,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2016, enhanced alternative plans may offer additional cost sharing reductions in the gap on a sub-set of the formulary drugs, beyond the standard Part D benefit.  ",,,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall Star Rating,
Alabama,Autauga,Blue Advantage (PPO),Blue Advantage Complete (PPO),Local PPO,$85.00 ,$360.00 ,Enhanced,No,EA,H0104,013,0," $5,000 ",4 Stars,
Alabama,Autauga,Blue Advantage (PPO),Blue Advantage Premier (PPO),Local PPO,$179.00 ,$0.00 ,Enhanced,No,EA,H0104,015,0," $3,400 ",4 Stars,
Alabama,Autauga,Cigna-HealthSpring,Cigna-HealthSpring Advantage (HMO),Local HMO *,$0.00 ,,,,,H0150,012,0," $6,700 ",4 Stars,
Alabama,Autauga,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),Local HMO,$0.00 ,$150.00 ,Enhanced,Yes,EA,H0150,024,1," $6,700 ",4 Stars,
Alabama,Autauga,Cigna-HealthSpring,Cigna-HealthSpring Premier (HMO-POS),Local HMO,$135.00 ,$0.00 ,Enhanced,Yes,EA,H0150,025,0," $3,600 ",4 Stars,
Alabama,Autauga,Humana Insurance Company,Humana Gold Choice H8145-075 (PFFS),PFFS,$94.00 ,$200.00 ,Basic,No,BA,H8145,075,0, N/A ,4 Stars,
Alabama,Autauga,Humana Insurance Company,HumanaChoice H6609-118 (PPO),Local PPO,$62.00 ,$320.00 ,Enhanced,Yes,EA,H6609,118,0," $6,700 ",4 Stars,
Alabama,Autauga,Humana Insurance Company,HumanaChoice R5826-001 (Regional PPO),Regional PPO,$75.00 ,$360.00 ,Enhanced,Yes,EA,R5826,001,0," $6,700 ",3.5 Stars,
Alabama,Autauga,Humana Insurance Company,HumanaChoice R5826-065 (Regional PPO),Regional PPO *,$0.00 ,,,,,R5826,065,0," $3,400 ",3.5 Stars,
Alabama,Autauga,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO,$0.00 ,$55.00 ,Enhanced,No,EA,H0151,001,0," $5,900 ",3.5 Stars,
