"2016 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,,
"Data as of September 9, 2015.  Includes 2016 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.  Medicare/Medicaid plans are shown in a separate Landscape file.",,,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2016, enhanced alternative plans may offer additional cost sharing reductions in the gap on a sub-set of the formulary drugs, beyond the standard Part D benefit.  ",,,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall Star Rating,
Nebraska,Adams,Humana Insurance Company,Humana Gold Choice H2944-004 (PFFS),PFFS,$96.00 ,$360.00 ,Basic,No,BA,H2944,004,0, N/A ,3.5 Stars,
Nebraska,Arthur,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *,$23.00 ,,,,,H5435,001,0, N/A ,3.5 Stars,
Nebraska,Arthur,UnitedHealthcare,UnitedHealthcare MedicareDirect Rx (PFFS),PFFS,$50.00 ,$270.00 ,Basic,No,BA,H5435,024,0, N/A ,3.5 Stars,
Nebraska,Banner,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *,$23.00 ,,,,,H5435,001,0, N/A ,3.5 Stars,
Nebraska,Banner,UnitedHealthcare,UnitedHealthcare MedicareDirect Rx (PFFS),PFFS,$50.00 ,$270.00 ,Basic,No,BA,H5435,024,0, N/A ,3.5 Stars,
Nebraska,Blaine,Humana Insurance Company,Humana Gold Choice H2944-004 (PFFS),PFFS,$96.00 ,$360.00 ,Basic,No,BA,H2944,004,0, N/A ,3.5 Stars,
Nebraska,Blaine,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *,$23.00 ,,,,,H5435,001,0, N/A ,3.5 Stars,
Nebraska,Blaine,UnitedHealthcare,UnitedHealthcare MedicareDirect Rx (PFFS),PFFS,$50.00 ,$270.00 ,Basic,No,BA,H5435,024,0, N/A ,3.5 Stars,
Nebraska,Boone,Humana Insurance Company,Humana Gold Choice H2944-004 (PFFS),PFFS,$96.00 ,$360.00 ,Basic,No,BA,H2944,004,0, N/A ,3.5 Stars,
Nebraska,Boone,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *,$23.00 ,,,,,H5435,001,0, N/A ,3.5 Stars,
Nebraska,Boone,UnitedHealthcare,UnitedHealthcare MedicareDirect Rx (PFFS),PFFS,$50.00 ,$270.00 ,Basic,No,BA,H5435,024,0, N/A ,3.5 Stars,
Nebraska,Box Butte,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *,$23.00 ,,,,,H5435,001,0, N/A ,3.5 Stars,
Nebraska,Buffalo,Humana Insurance Company,Humana Gold Choice H2944-004 (PFFS),PFFS,$96.00 ,$360.00 ,Basic,No,BA,H2944,004,0, N/A ,3.5 Stars,
Nebraska,Buffalo,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *,$23.00 ,,,,,H5435,001,0, N/A ,3.5 Stars,
Nebraska,Buffalo,UnitedHealthcare,UnitedHealthcare MedicareDirect Rx (PFFS),PFFS,$50.00 ,$270.00 ,Basic,No,BA,H5435,024,0, N/A ,3.5 Stars,
Nebraska,Burt,Coventry Health Care,Advantra Connect Plus (HMO),Local HMO,$188.00 ,$0.00 ,Enhanced,Yes,EA,H7149,005,0," $4,500 ",3.5 Stars,
Nebraska,Burt,Coventry Health Care,Coventry Advantra Silver (HMO),Local HMO,$0.00 ,$100.00 ,Enhanced,No,EA,H7149,001,0," $5,000 ",3.5 Stars,
