"state","county","organizationname","planname","typeofmedicarehealthplan","monthlyconsolidatedpremiumi","annualdrugdeductible","drugbenefittype","additionalcoverageofferedin","drugbenefittypedetail","contractid","planid","segmentid","innetworkmoopamount","overallstarrating","overallstarratingstr"
"Alabama","Autauga","Blue Advantage (PPO)","Blue Advantage Complete (PPO)","Local PPO",49,150,"Enhanced","No","EA","H0104","012","0",5000,3.5,"3.5 Stars"
"Alabama","Autauga","Blue Advantage (PPO)","Blue Advantage Premier (PPO)","Local PPO",159,0,"Enhanced","No","EA","H0104","015","0",3400,3.5,"3.5 Stars"
"Alabama","Autauga","Cigna-HealthSpring","Cigna-HealthSpring Advantage (HMO)","Local HMO *",0,,,,,"H0150","012","0",6700,3.5,"3.5 Stars"
"Alabama","Autauga","Cigna-HealthSpring","Cigna-HealthSpring Preferred (HMO)","Local HMO",0,200,"Enhanced","Yes","EA","H0150","024","1",6700,3.5,"3.5 Stars"
"Alabama","Autauga","VIVA Medicare","VIVA Medicare Select (HMO)","Local HMO *",0,,,,,"H0154","008","0",6700,4.5,"4.5 Stars"
"Alabama","Autauga","VIVA Medicare","VIVA Medicare Premier (HMO)","Local HMO",109,0,"Enhanced","Yes","EA","H0154","011","0",5900,4.5,"4.5 Stars"
"Alabama","Autauga","VIVA Medicare","VIVA Medicare Plus (HMO)","Local HMO",0,200,"Enhanced","No","EA","H0154","015","1",6700,4.5,"4.5 Stars"
"Alabama","Autauga","UnitedHealthcare","AARP MedicareComplete Plan 1 (HMO)","Local HMO",0,55,"Enhanced","No","EA","H2802","041","0",5400,4,"4 Stars"
"Alabama","Autauga","UnitedHealthcare","AARP MedicareComplete Plan 2 (HMO)","Local HMO",44,0,"Enhanced","No","EA","H2802","042","0",3400,4,"4 Stars"
"Alabama","Autauga","Humana Insurance Company","HumanaChoice H5216-095 (PPO)","Local PPO",47,150,"Enhanced","No","EA","H5216","095","0",6700,4,"4 Stars"
"Alabama","Autauga","Humana Insurance Company","Humana Gold Choice H8145-075 (PFFS)","PFFS",95,295,"Basic","No","BA","H8145","075","0",,3.5,"3.5 Stars"
"Alabama","Autauga","Humana Insurance Company","HumanaChoice R7315-001 (Regional PPO)","Regional PPO *",0,,,,,"R7315","001","0",3400,3.5,"3.5 Stars"
