"state","county","organizationname","planname","typeofmedicarehealthplan","monthlyconsolidatedpremiumi","annualdrugdeductible","drugbenefittype","additionalcoverageofferedin","drugbenefittypedetail","contractid","planid","segmentid","innetworkmoopamount","overallstarrating","overallstarratingstr"
,,,,,,,,,,,,".",,,
"Nebraska","Adams","Humana Insurance Company","Humana Gold Choice H2944-004 (PFFS)","PFFS",97,405,"Basic","No","BA","H2944","004","0",,3.5,"3.5 Stars"
"Nebraska","Arthur","UnitedHealthcare","UnitedHealthcare MedicareDirect Essential (PFFS)","PFFS *",35,,,,,"H5435","001","0",,3.5,"3.5 Stars"
"Nebraska","Arthur","UnitedHealthcare","UnitedHealthcare MedicareDirect Rx (PFFS)","PFFS",60,295,"Enhanced","No","EA","H5435","024","0",,3.5,"3.5 Stars"
"Nebraska","Banner","UnitedHealthcare","UnitedHealthcare MedicareDirect Essential (PFFS)","PFFS *",35,,,,,"H5435","001","0",,3.5,"3.5 Stars"
"Nebraska","Banner","UnitedHealthcare","UnitedHealthcare MedicareDirect Rx (PFFS)","PFFS",60,295,"Enhanced","No","EA","H5435","024","0",,3.5,"3.5 Stars"
"Nebraska","Blaine","Humana Insurance Company","Humana Gold Choice H2944-004 (PFFS)","PFFS",97,405,"Basic","No","BA","H2944","004","0",,3.5,"3.5 Stars"
"Nebraska","Blaine","UnitedHealthcare","UnitedHealthcare MedicareDirect Essential (PFFS)","PFFS *",35,,,,,"H5435","001","0",,3.5,"3.5 Stars"
"Nebraska","Blaine","UnitedHealthcare","UnitedHealthcare MedicareDirect Rx (PFFS)","PFFS",60,295,"Enhanced","No","EA","H5435","024","0",,3.5,"3.5 Stars"
"Nebraska","Boone","Humana Insurance Company","Humana Gold Choice H2944-004 (PFFS)","PFFS",97,405,"Basic","No","BA","H2944","004","0",,3.5,"3.5 Stars"
"Nebraska","Boone","UnitedHealthcare","UnitedHealthcare MedicareDirect Essential (PFFS)","PFFS *",35,,,,,"H5435","001","0",,3.5,"3.5 Stars"
"Nebraska","Boone","UnitedHealthcare","UnitedHealthcare MedicareDirect Rx (PFFS)","PFFS",60,295,"Enhanced","No","EA","H5435","024","0",,3.5,"3.5 Stars"
"Nebraska","Box Butte","UnitedHealthcare","UnitedHealthcare MedicareDirect Essential (PFFS)","PFFS *",35,,,,,"H5435","001","0",,3.5,"3.5 Stars"
"Nebraska","Buffalo","Humana Insurance Company","Humana Gold Choice H2944-004 (PFFS)","PFFS",97,405,"Basic","No","BA","H2944","004","0",,3.5,"3.5 Stars"
"Nebraska","Buffalo","UnitedHealthcare","UnitedHealthcare MedicareDirect Essential (PFFS)","PFFS *",35,,,,,"H5435","001","0",,3.5,"3.5 Stars"
"Nebraska","Buffalo","UnitedHealthcare","UnitedHealthcare MedicareDirect Rx (PFFS)","PFFS",60,295,"Enhanced","No","EA","H5435","024","0",,3.5,"3.5 Stars"
"Nebraska","Burt","UnitedHealthcare","AARP MedicareComplete (HMO)","Local HMO",0,250,"Enhanced","No","EA","H2802","001","0",5900,4,"4 Stars"
