"2019 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,,
"Data as of October 10, 2018.  Includes 2019 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer sponsored plans (800 series) are excluded. Plans under sanction are not shown.  Medicare/Medicaid plans are shown in a separate Landscape file.",,,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2019, enhanced alternative plans may offer additional cost sharing reductions in the gap on a sub-set of the formulary drugs, beyond the standard Part D benefit.  ",,,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan," Monthly Consolidated Premium 
(Includes 
Part C + D) ", Annual Drug Deductible ,"Drug 
Benefit 
Type","
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall Star Rating,
Alabama,Autauga,Blue Advantage (PPO),Blue Advantage Complete (PPO),Local PPO, $-   , $100.00 ,Enhanced,Yes,EA,H0104,012,0," $4,900 ",3.5 Stars,
Alabama,Autauga,Blue Advantage (PPO),Blue Advantage Premier (PPO),Local PPO, $159.00 , $-   ,Enhanced,Yes,EA,H0104,015,0," $3,400 ",3.5 Stars,
Alabama,Autauga,VIVA Medicare,VIVA Medicare Select (HMO),Local HMO *, $-   ,,,,,H0154,008,0," $6,700 ",4 Stars,
Alabama,Autauga,VIVA Medicare,VIVA Medicare Premier (HMO),Local HMO, $99.00 , $-   ,Enhanced,Yes,EA,H0154,011,0," $5,500 ",4 Stars,
Alabama,Autauga,VIVA Medicare,VIVA Medicare Plus (HMO),Local HMO, $-   , $100.00 ,Enhanced,Yes,EA,H0154,015,1," $6,700 ",4 Stars,
Alabama,Autauga,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO, $-   , $55.00 ,Enhanced,No,EA,H2802,041,0," $5,000 ",3.5 Stars,
Alabama,Autauga,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),Local HMO, $43.00 , $-   ,Enhanced,No,EA,H2802,042,0," $3,900 ",3.5 Stars,
Alabama,Autauga,Cigna-HealthSpring,Cigna-HealthSpring Advantage (HMO),Local HMO *, $-   ,,,,,H4513,045,0," $6,700 ",4.5 Stars,
Alabama,Autauga,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),Local HMO, $-   , $200.000 ,Enhanced,No,EA,H4513,046,1," $6,700 ",4.5 Stars,
Alabama,Autauga,Cigna-HealthSpring,Cigna-HealthSpring PreferredPlus Direct (HMO),Local HMO, $49.000 , $-   ,Enhanced,No,EA,H4513,047,0," $4,900 ",4.5 Stars,
Alabama,Autauga,Humana,HumanaChoice H5216-095 (PPO),Local PPO, $22.00 , $150.00 ,Enhanced,No,EA,H5216,095,0," $6,700 ",4 Stars,
Alabama,Autauga,Aetna Medicare,Aetna Medicare Freedom Plan (PPO),Local PPO, $-   , $95.00 ,Enhanced,Yes,EA,H5521,224,0," $5,700 ",4 Stars,
Alabama,Autauga,Aetna Medicare,Aetna Medicare Basics Plan (PPO),Local PPO *, $-   ,,,,,H5521,229,0," $4,500 ",4 Stars,
Alabama,Autauga,Humana,Humana Gold Choice H8145-075 (PFFS),PFFS, $95.00 , $415.00 ,Basic,No,BA,H8145,075,0, $-   ,3.5 Stars,
Alabama,Autauga,Humana,HumanaChoice R7315-001 (Regional PPO),Regional PPO *, $-   ,,,,,R7315,001,0," $3,400 ",3.5 Stars,
Alabama,Autauga,Humana,HumanaChoice R7315-002 (Regional PPO),Regional PPO, $85.00 , $360.00 ,Basic,No,BA,R7315,002,0," $6,700 ",3.5 Stars,
Alabama,Baldwin,Blue Advantage (PPO),Blue Advantage Complete (PPO),Local PPO, $-   , $100.00 ,Enhanced,Yes,EA,H0104,014,0," $4,900 ",3.5 Stars,
Alabama,Baldwin,Blue Advantage (PPO),Blue Advantage Premier (PPO),Local PPO, $159.00 , $-   ,Enhanced,Yes,EA,H0104,015,0," $3,400 ",3.5 Stars,
Alabama,Baldwin,VIVA Medicare,VIVA Medicare Select (HMO),Local HMO *, $-   ,,,,,H0154,008,0," $6,700 ",4 Stars,
Alabama,Baldwin,VIVA Medicare,VIVA Medicare Premier (HMO),Local HMO, $99.00 , $-   ,Enhanced,Yes,EA,H0154,011,0," $5,500 ",4 Stars,
Alabama,Baldwin,VIVA Medicare,VIVA Medicare Plus (HMO),Local HMO, $-   , $100.00 ,Enhanced,Yes,EA,H0154,015,1," $6,700 ",4 Stars,
Alabama,Baldwin,VIVA Medicare,VIVA Medicare Prime (HMO),Local HMO, $41.00 , $-   ,Enhanced,Yes,EA,H0154,016,0," $5,900 ",4 Stars,
Alabama,Baldwin,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO, $-   , $55.00 ,Enhanced,No,EA,H2802,041,0," $5,000 ",3.5 Stars,
Alabama,Baldwin,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),Local HMO, $43.00 , $-   ,Enhanced,No,EA,H2802,042,0," $3,900 ",3.5 Stars,
Alabama,Baldwin,Cigna-HealthSpring,Cigna-HealthSpring Advantage (HMO),Local HMO *, $-   ,,,,,H4513,045,0," $6,700 ",4.5 Stars,
Alabama,Baldwin,Cigna-HealthSpring,Cigna-HealthSpring Preferred (HMO),Local HMO, $-   , $200.000 ,Enhanced,No,EA,H4513,046,1," $6,700 ",4.5 Stars,
Alabama,Baldwin,Cigna-HealthSpring,Cigna-HealthSpring PreferredPlus Direct (HMO),Local HMO, $49.000 , $-   ,Enhanced,No,EA,H4513,047,0," $4,900 ",4.5 Stars,
Alabama,Baldwin,Humana,HumanaChoice H5525-020 (PPO),Local PPO, $45.00 , $360.00 ,Enhanced,No,EA,H5525,020,0," $6,700 ",4 Stars,
Alabama,Baldwin,Humana,Humana Gold Plus H5619-089 (HMO),Local HMO, $-   , $-   ,Enhanced,No,EA,H5619,089,0," $5,600 ",4 Stars,
Alabama,Baldwin,Humana,Humana Gold Choice H8145-075 (PFFS),PFFS, $95.00 , $415.00 ,Basic,No,BA,H8145,075,0, $-   ,3.5 Stars,
Alabama,Baldwin,Humana,HumanaChoice R7315-001 (Regional PPO),Regional PPO *, $-   ,,,,,R7315,001,0," $3,400 ",3.5 Stars,
Alabama,Baldwin,Humana,HumanaChoice R7315-002 (Regional PPO),Regional PPO, $85.00 , $360.00 ,Basic,No,BA,R7315,002,0," $6,700 ",3.5 Stars,
Alabama,Barbour,Blue Advantage (PPO),Blue Advantage Complete (PPO),Local PPO, $-   , $100.00 ,Enhanced,Yes,EA,H0104,012,0," $4,900 ",3.5 Stars,
Alabama,Barbour,Blue Advantage (PPO),Blue Advantage Premier (PPO),Local PPO, $159.00 , $-   ,Enhanced,Yes,EA,H0104,015,0," $3,400 ",3.5 Stars,
Alabama,Barbour,UnitedHealthcare,AARP MedicareComplete Plan 1 (HMO),Local HMO, $-   , $55.00 ,Enhanced,No,EA,H0432,003,0," $5,900 ",Plan too new to be measured,
Alabama,Barbour,UnitedHealthcare,AARP MedicareComplete Plan 2 (HMO),Local HMO, $46.00 , $-   ,Enhanced,No,EA,H0432,004,0," $3,900 ",Plan too new to be measured,
