"2019 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,,
"Data as of October 10, 2018.  Includes 2019 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer sponsored plans (800 series) are excluded. Plans under sanction are not shown.  Medicare/Medicaid plans are shown in a separate Landscape file.",,,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2019, enhanced alternative plans may offer additional cost sharing reductions in the gap on a sub-set of the formulary drugs, beyond the standard Part D benefit.  ",,,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall Star Rating,
Nebraska,Adams,Aetna Medicare,Advantra Silver (HMO),Local HMO, $-   , $-   ,Enhanced,Yes,EA,H7149,001,0," $5,500 ",3.5 Stars,
Nebraska,Adams,Coventry Health Care,Coventry Advantra Elite (PPO),Local PPO, $-   , $-   ,Enhanced,Yes,EA,H1608,038,0," $4,500 ",3.5 Stars,
Nebraska,Adams,Coventry Health Care,Coventry Advantra Platinum (PPO),Local PPO, $34.00 , $-   ,Enhanced,Yes,EA,H1608,012,0," $4,900 ",3.5 Stars,
Nebraska,Antelope,Medica Insurance Company,Medica Prime Solution Premier (Cost),Cost *, $140.00 ,,,,,H2450,043,0," $3,400 ",4 Stars,
Nebraska,Antelope,Medica Insurance Company,Medica Prime Solution Thrift (Cost),Cost *, $49.00 ,,,,,H2450,030,0," $6,700 ",4 Stars,
Nebraska,Arthur,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *, $40.00 ,,,,,H5435,001,0, $-   ,3 Stars,
Nebraska,Arthur,UnitedHealthcare,UnitedHealthcare MedicareDirect Rx (PFFS),PFFS, $64.00 , $295.00 ,Enhanced,No,EA,H5435,024,0, $-   ,3 Stars,
Nebraska,Banner,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *, $40.00 ,,,,,H5435,001,0, $-   ,3 Stars,
Nebraska,Banner,UnitedHealthcare,UnitedHealthcare MedicareDirect Rx (PFFS),PFFS, $64.00 , $295.00 ,Enhanced,No,EA,H5435,024,0, $-   ,3 Stars,
Nebraska,Blaine,UnitedHealthcare,UnitedHealthcare MedicareDirect Essential (PFFS),PFFS *, $40.00 ,,,,,H5435,001,0, $-   ,3 Stars,
